name,ID,area,travel depth: median,travel depth: MAD,travel depth: mean,travel depth: SD,travel depth: skew,travel depth: kurtosis,travel depth: 25%,travel depth: 75%,geodesic depth: median,geodesic depth: MAD,geodesic depth: mean,geodesic depth: SD,geodesic depth: skew,geodesic depth: kurtosis,geodesic depth: 25%,geodesic depth: 75%,mean curvature: median,mean curvature: MAD,mean curvature: mean,mean curvature: SD,mean curvature: skew,mean curvature: kurtosis,mean curvature: 25%,mean curvature: 75%,freesurfer curvature: median,freesurfer curvature: MAD,freesurfer curvature: mean,freesurfer curvature: SD,freesurfer curvature: skew,freesurfer curvature: kurtosis,freesurfer curvature: 25%,freesurfer curvature: 75%,freesurfer thickness: median,freesurfer thickness: MAD,freesurfer thickness: mean,freesurfer thickness: SD,freesurfer thickness: skew,freesurfer thickness: kurtosis,freesurfer thickness: 25%,freesurfer thickness: 75%,freesurfer convexity (sulc): median,freesurfer convexity (sulc): MAD,freesurfer convexity (sulc): mean,freesurfer convexity (sulc): SD,freesurfer convexity (sulc): skew,freesurfer convexity (sulc): kurtosis,freesurfer convexity (sulc): 25%,freesurfer convexity (sulc): 75%,mean position: x,mean position: y,mean position: z,mean position in standard space: x,mean position in standard space: y,mean position in standard space: z
anterior occipital sulcus,10,17.374807099999998,10.0949,4.440320000000001,9.903276251218928,5.340231805976409,-1.018186699542653,-1.010573314022293,5.65458,14.306750000000001,11.6898,3.8491999999999997,11.806931206197392,4.647945519810398,-0.8920562668204214,-1.0695421138674848,7.589135000000001,15.532350000000001,-0.117369,2.836129,0.07680551251773603,3.7042615437034505,-1.472129487731637,-0.15549315161138288,-1.30956,3.16366,0.044191744178533554,0.11882898584008217,0.041403563483218296,0.16743887819810654,-1.6817913065669334,0.3378546930573463,-0.009234228171408176,0.17414036393165588,2.478034734725952,0.3190336227416992,2.5449030421217156,0.44268039504609885,0.7250127553716649,-0.5589396762381091,2.159001111984253,2.7563730478286743,0.47513824701309204,0.24818944931030273,0.4669254656831103,0.45371815590106507,-1.2373903220692022,-0.3713186123923755,0.2391485869884491,0.7454386055469513,43.22896281878153,-32.185162464777626,-21.65694586435954,48.70531611299953,-60.09463484469765,-4.497703380697529
superior temporal sulcus,11,31.9080889,9.12713,6.657070000000001,10.689943739262302,9.134408419701007,-0.9116691085957591,-1.4558960644111454,2.63122,17.72,10.2783,7.259169999999999,11.758043416799872,9.84714737433325,-0.903804438648867,-1.4762742442297179,3.45642,20.0968,1.06453,3.15551,-0.5903438001135194,5.172642375949013,-1.524874152558151,-0.3757469616938258,-5.30147,3.31517,0.13415643572807312,0.06460042297840118,0.009300522266920167,0.2249705420408401,-1.6635034210386481,-0.023223773001432413,-0.17996743321418762,0.1641070395708084,3.0751092433929443,0.28227877616882324,2.920995856365266,0.5459474642892101,0.826173241732144,0.35586682624348454,2.5019640922546387,3.201803684234619,0.21379129588603973,0.7563860565423965,0.16529625294743133,0.9450743121388985,-1.1889052655167485,-1.0838969033052992,-0.6095690131187439,0.9148978590965271,47.27891660204121,10.251866629164592,-9.224560246748084,51.084730444468065,-14.970494424035119,-13.3557383726983
inferior temporal sulcus,12,39.6213129,7.156125,2.3030500000000003,7.195563211370464,3.3455971880255646,-0.6746739686864436,-0.8805083839147323,4.528975000000001,9.13174,7.98519,2.4773050000000003,8.067713280982568,3.416353493736166,-0.7995258090761891,-0.8964928434912478,5.38853,10.378125,1.27773,1.3522833,1.2273544322525944,2.2710296083947203,-1.3244237364418614,0.5882535476638027,0.1366525,2.8973725,0.16670946776866913,0.0518159419298172,0.1374283724677409,0.11037339112799409,-2.05273173190077,2.4356219019063445,0.10573374480009079,0.21224859356880188,2.647655963897705,0.33293747901916504,2.6169613978407766,0.5083556829818429,-0.12354921954793681,0.6621659474814159,2.3192825317382812,2.9843637943267822,0.1652400717139244,0.23171719163656235,0.209212328184325,0.3933677414350749,-0.9926992116641464,-0.23029617649461898,-0.015836918726563454,0.4750160872936249,49.23416231824206,2.574478610043789,-18.7410349009873,53.77279447781867,-26.43114775695993,-19.127461873753113
circular sulcus,13,119.2122415,15.6967,5.4361,17.291109081929054,7.765665885828198,-0.8958814824661172,-1.2910623193291195,11.3632,23.7883,25.0765,3.6708,24.778933340340974,5.741575407419508,-0.7579211369611726,-0.697384939228276,21.1262,28.64,1.39024,2.7070200000000004,0.09187876593799779,4.562738523084409,-1.5838539181382671,0.008189015684407774,-2.61905,3.42136,0.08157097548246384,0.07543518487364054,0.014617300182799078,0.19585496738407493,-1.9766007731768167,1.5233976222168488,-0.04119989275932312,0.1413148194551468,2.79351806640625,0.48682403564453125,2.7713042118644755,0.7614621852357488,0.8353226395159982,0.2665143704753006,2.256117105484009,3.1755826473236084,0.2538382112979889,0.7306412756443024,0.3221772285884655,0.8524481781217583,-1.0703432172652407,-1.142758080836186,-0.44535496830940247,1.0557952523231506,34.058377736952245,18.2233393727461,4.855584282521726,35.794064150278295,-1.6479716691659523,-3.15172252930011
1st transverse temporal sulcus and Heschl's sulcus,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cingulate sulcus,15,72.01057309999999,6.8015,2.0620399999999997,7.867212968030373,5.00895808539198,-0.3263820052513898,-1.4207071465308476,4.73946,8.57752,7.56592,1.8317200000000007,9.22938921914203,5.333589069078329,-0.24697453573856779,-1.4527561481780082,6.16241,9.95471,2.124865,1.0638450000000002,2.1521711534697916,2.0027180086536727,-1.0798021669200795,-0.14247477382418916,1.00557,3.16989,0.12404609471559525,0.050870902836322784,0.10525544174397185,0.10330182726928974,-2.152218875673932,2.9004066481730044,0.06861782260239124,0.1711125262081623,1.7157578468322754,0.23302698135375977,1.770962244229915,0.351148361671648,0.06646679501602926,-0.16431220783532874,1.5324463844299316,2.034076690673828,0.06096293032169342,0.248341366648674,0.2589377660161703,0.5593940601251572,-0.3667599189563275,-1.4671372359082773,-0.14679767191410065,0.41865020990371704,12.491071251034736,15.768697410821915,25.22823040187359,11.584692714184348,4.634019222782971,18.692978106695143
paracentral sulcus,16,9.002831,8.7379,2.7600999999999996,8.532853343981465,3.273758940512573,-0.867555361234142,-0.8591618207112939,5.82036,11.498,9.92293,3.1843699999999995,9.85482973532992,3.656471287885391,-0.812516085112536,-0.9875891033420232,6.73856,13.2683,1.93821,0.91137,1.3142356677466231,1.9399352356208985,-1.0478791333495168,-0.3745132077702862,-0.354827,2.48052,0.10239934548735619,0.013492260128259659,0.08473359290349242,0.06280208662639916,-1.8905241717779735,1.917873172739161,0.06604142487049103,0.11589160561561584,2.2588582038879395,0.23153185844421387,2.259304865675545,0.3175480175582697,0.49588061459408656,-0.9446379259433613,1.9945000410079956,2.4903900623321533,0.4915536046028137,0.18801742792129517,0.44025978275761496,0.27655156376748175,-1.0512065592928437,-0.5191070885603088,0.2168179601430893,0.673038125038147,10.548231951395671,-11.632559967041015,44.51048024495443,10.287789862364631,-11.572908390780693,52.179791550922374
parietooccipital fissure,17,76.5345546,9.7766,4.124280000000001,11.290673839933863,6.196325091064055,0.4357066312360239,-0.8287049705331655,6.33722,15.4097,10.694400000000002,4.3407,12.946512981260021,6.756851393903877,0.47144252242981494,-0.8412455741134042,7.40595,17.3896,0.122699,2.195189,-0.19951332231400862,3.1805159669325005,-1.2508331819144105,-0.5503781614746437,-2.83501,2.00017,0.09100423753261566,0.0886520950589329,0.09413502683194548,0.16828879775748043,-1.2898199710712155,-0.14285408449886372,0.011828714050352573,0.19987140595912933,1.7494803667068481,0.2550705671310425,1.8496059282688577,0.5081011815877596,0.20390172260369824,0.0172214457518427,1.5846357345581055,2.0423922538757324,0.02620829828083515,0.4465633798390627,0.17803892723618256,0.6507905152357748,-0.6317512502197723,-1.133619428019355,-0.2676917314529419,0.6854132413864136,11.64213276817685,-55.17868895757766,-8.96997266457904,14.429080800650889,-76.84326217838687,19.896237760843242
calcarine fissure,18,56.2954866,10.3787,3.2184300000000006,10.390759565969896,5.283326358196455,-0.21374872931560113,-0.36642479231363057,6.69895,12.9312,13.2665,3.7137700000000002,13.124303876909735,5.815033279634987,-0.1407662950380647,-0.5495729026416365,8.804694999999999,16.1641,-0.453383,2.333817,-0.40665974682671807,3.0979676607529765,-0.8636908208052919,-1.1294825177907712,-3.20711,1.39787,0.006908665876835585,0.11958487750962377,0.01319541993671353,0.1612869345565812,-1.1188843837558924,-0.8154233955404497,-0.10031349956989288,0.1296597123146057,2.1224803924560547,0.32824254035949707,2.1951277131636564,0.523198098161999,0.8009233967151974,0.8397535544392158,1.8795265555381775,2.4882089495658875,0.3946193754673004,0.47904399037361145,0.33464227975608823,0.6348117813260733,-0.7675131508546669,-1.081208013328227,-0.19084863364696503,0.7777928113937378,15.38864004611969,-28.567030019760132,-12.51074152469635,17.471146319242504,-53.8394987393574,2.822294003922826
superior rostral sulcus,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
callosal sulcus,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lateral H-shaped orbital sulcus,21,88.33280539999998,6.58606,2.31696,8.024821978054419,5.738709200073555,0.05829285699609245,-0.6955437556373059,4.56095,9.10068,9.04834,4.42906,12.862309971460505,7.807563080324805,0.41317841752123274,-1.2532526345567152,6.94296,20.3001,0.366121,2.689249,-0.39507648127795914,3.88272702191304,-1.3577941080596188,-0.5197131499243297,-3.99593,2.24908,0.065982885658741,0.11456668004393578,0.02700254624256463,0.18301572262723395,-1.6729697775784753,0.3820857326614888,-0.07580185681581497,0.16650325059890747,2.609344482421875,0.6360583305358887,2.7044006467662607,0.8332039757523908,0.9673727935328623,-0.6140164695511432,2.0338144302368164,3.362326145172119,0.10377589613199234,0.3403363898396492,0.15205320606178888,0.5987376793843259,-0.6615637644997326,-0.8302878574266246,-0.23656049370765686,0.41878563165664673,33.36248017802383,52.44650609565504,15.986933240610542,33.294506678853715,35.06587100973511,-9.192014213536314
olfactory sulcus,22,32.228907,6.96115,1.7062899999999992,7.251226022459869,2.4860286664401303,-0.8920225570093484,-0.6519042427371393,5.72271,8.67566,15.7559,2.6773999999999987,14.072881145766875,4.765528675050798,0.11116519338249872,-1.1285466601442793,10.9606,17.8849,-0.707944,2.433546,-1.73474724456727,4.10702807904359,-1.4395279457335834,-0.3093661668777776,-4.68864,1.11844,0.029057053849101067,0.12098449654877186,0.0033066040338093454,0.1640798585367225,-1.492203022662121,-0.08997510567197109,-0.11447948217391968,0.14863058924674988,2.0280404090881348,0.46341848373413086,2.4893162086002074,0.9703870491404268,1.3422059956660126,-0.25804866719933583,1.737537145614624,3.277082920074463,-0.25998279452323914,0.11965246498584747,-0.29550308409171083,0.2796374125178283,-1.4857357202582278,-0.0008766016268646482,-0.4649661183357239,-0.14033032953739166,17.360072660446168,43.99648504257202,1.5442030675709248,16.174680114183325,19.669422433087256,-19.67279276500917
occipitotemporal sulcus,23,54.71883379999999,7.74575,3.39614,7.524461247160299,3.964259860325781,-1.022519832018717,-1.0521241731687643,3.96124,10.778850000000002,8.78585,3.37725,9.011175470848432,4.012811085837679,-0.9895514345578094,-0.9930190564728911,5.76578,12.25895,1.376665,1.836975,1.4353266129024576,2.756410543760395,-1.215481186055454,-0.5962266805060548,-0.110018,3.5025775,0.1739695817232132,0.052090056240558624,0.12485998485455105,0.15335011180152516,-2.249772378677873,2.8612645933631624,0.10222376883029938,0.2135770097374916,2.6423683166503906,0.4963803291320801,2.8380866561527927,0.9504497648134739,1.4195874074363548,0.6622430541016957,2.1995697021484375,3.328321933746338,0.42282669246196747,0.28478094935417175,0.3925836436668999,0.39449217044065765,-1.1980788202482822,-0.518402265339502,0.11059769429266453,0.7010797262191772,34.758238975818344,-17.98948218081242,-26.733183836325622,38.76597280311633,-49.85256330987876,-16.90007413325162
collateral sulcus,24,122.01159390000001,5.18397,2.1720799999999993,6.197164088849624,3.8781932148139453,-0.46167876603848323,-1.3507855413137295,3.21429,8.07026,8.31624,2.3615799999999996,8.99359584331972,3.8511806202837975,-0.2516685100064497,-1.0065496393697915,6.01041,10.9887,-0.0877567,2.3610867,-0.12552388596481223,3.5763739401909587,-1.3930104916845707,-0.0008979975554139763,-2.08054,2.3687050000000003,0.08475403860211372,0.12575310096144676,0.035764708371657065,0.19586714054690363,-1.5416961355464989,-0.09475347940037349,-0.1261616051197052,0.1836620233952999,2.617405414581299,0.5999026298522949,2.8368812156323435,1.0779924849203097,1.4812569830045397,0.47247504530423035,2.099447250366211,3.33213210105896,0.1557893604040146,0.2853223383426666,0.16343073367047425,0.5195279409366477,-0.9602067883681924,-0.5885963052704475,-0.14540180563926697,0.43262434005737305,17.02581699722233,-25.486337217282614,-24.418528214641583,19.372518259411635,-56.54558746950041,-10.837105102910744
