name,ID,area,travel depth: median,travel depth: MAD,travel depth: mean,travel depth: SD,travel depth: skew,travel depth: kurtosis,travel depth: 25%,travel depth: 75%,geodesic depth: median,geodesic depth: MAD,geodesic depth: mean,geodesic depth: SD,geodesic depth: skew,geodesic depth: kurtosis,geodesic depth: 25%,geodesic depth: 75%,mean curvature: median,mean curvature: MAD,mean curvature: mean,mean curvature: SD,mean curvature: skew,mean curvature: kurtosis,mean curvature: 25%,mean curvature: 75%,freesurfer curvature: median,freesurfer curvature: MAD,freesurfer curvature: mean,freesurfer curvature: SD,freesurfer curvature: skew,freesurfer curvature: kurtosis,freesurfer curvature: 25%,freesurfer curvature: 75%,freesurfer thickness: median,freesurfer thickness: MAD,freesurfer thickness: mean,freesurfer thickness: SD,freesurfer thickness: skew,freesurfer thickness: kurtosis,freesurfer thickness: 25%,freesurfer thickness: 75%,freesurfer convexity (sulc): median,freesurfer convexity (sulc): MAD,freesurfer convexity (sulc): mean,freesurfer convexity (sulc): SD,freesurfer convexity (sulc): skew,freesurfer convexity (sulc): kurtosis,freesurfer convexity (sulc): 25%,freesurfer convexity (sulc): 75%,mean position: x,mean position: y,mean position: z,mean position in standard space: x,mean position in standard space: y,mean position in standard space: z
anterior occipital sulcus,10,6.524170500000001,12.5212,2.09595,11.379348569098552,3.4956809719612902,-0.6294274260816209,-0.7891415078994957,8.43369,14.202,14.3377,1.6717999999999993,12.472754403366679,3.83854024854436,-0.6644218975531483,-0.9896648214749377,8.5572,15.259775,3.247495,0.736945,3.348316749651162,1.0799564465469083,0.3174374050589861,-0.44178376956907295,2.49379,3.80906,0.19808626174926758,0.01612059772014618,0.18287227511106713,0.04470060540428527,-1.253803822444193,0.4480325388609794,0.16880543529987335,0.21127060800790787,2.169201612472534,0.21522831916809082,2.1935946441491834,0.3486675799909971,0.3283857592772869,-0.45125065194110636,2.003334403038025,2.396788477897644,0.7369204759597778,0.0763348639011383,0.6628272882451703,0.1964819378036003,-1.314088935908761,1.0609435607187434,0.5773484110832214,0.7529365420341492,-41.13496911936793,-34.440961837768555,-25.934465342554553,-44.76198075272027,-68.41195838748048,-8.137865402234574
superior temporal sulcus,11,36.1420775,16.027,4.1793499999999995,15.44485753443808,5.549403814002496,-0.9575815909946224,-0.3630256676652115,11.4501,20.116,17.9452,4.8933,16.942262828304766,6.193486709768634,-1.0644072208858473,-0.373713140476823,12.2862,22.1371,1.70035,1.90833,1.511322917774857,3.384121854537651,-1.4655993043167836,0.07117358593466783,-0.383885,3.60868,0.14210691303014755,0.061148278415203094,0.10163368862907783,0.12634942738567714,-1.862196218506842,1.0480639154633087,0.040716905146837234,0.1855400800704956,2.4372291564941406,0.3341042995452881,2.5067454003328566,0.4898420156202159,0.8644559792999836,0.08441821137648553,2.207442283630371,2.7965216636657715,0.7222051620483398,0.36804094910621643,0.7479072432569304,0.512989408197942,-0.7892213387191298,-1.01910941107688,0.3541642129421234,1.0567526817321777,-44.62717215959416,4.323449877644853,-7.010082064095394,-50.71189087940874,-23.9792654192917,-8.572662220183492
inferior temporal sulcus,12,28.242733099999995,5.50646,1.49364,5.832011053172615,2.262572979138408,0.14221165509882253,-0.7871539615900729,4.17651,7.21371,6.07943,1.29439,6.730890026525302,2.333216542274935,0.19993453725276614,-0.5240546311752281,5.09232,8.11499,1.16104,1.4460760000000001,1.1219069087803248,1.7669901531234355,-1.1733842057372148,0.2681458222614439,-0.284645,2.67239,0.14851923286914825,0.05666185915470123,0.1237202464265392,0.11183349310555188,-2.088887492753248,2.8531185130711494,0.08362239599227905,0.19212780892848969,2.6778786182403564,0.5058972835540771,2.876065828788821,0.8242487690111834,0.19906029620409146,-0.6888680741973059,2.2801413536071777,3.3663153648376465,0.05076950415968895,0.15497982874512672,0.03109669227118013,0.27792074109113296,-0.8041179741927615,0.19079413663563471,-0.1352073848247528,0.20283031463623047,-49.33064857972871,3.8235299726691814,-18.54765033721924,-55.696642626818985,-30.122735460236605,-20.0728312762507
circular sulcus,13,70.97103190000001,25.2673,4.232099999999999,24.38760903918208,5.44679442848735,-0.7289593245750091,-0.7771489875263979,20.3546,28.743125,30.27535,4.588349999999998,29.775485330176096,5.5777938882494125,-0.5212629840729496,-0.6316635794132899,25.7434,35.0076,2.7011849999999997,1.1327249999999998,2.4313122134321485,2.0212931237903837,-1.148281828973605,0.5083877556368233,1.21953,3.64201,0.12197817116975784,0.041830193251371384,0.1123081625125831,0.06901343314775808,-1.920344244391563,3.1544601657378335,0.0798073410987854,0.16273358464241028,2.3790117502212524,0.4235016107559204,2.494425884946555,0.6439152180389998,0.32595485136456925,0.38047268597968964,1.9930424690246582,2.888514995574951,0.891358345746994,0.31186643242836,0.8832699377735906,0.43362701491799716,-0.7857351528018995,-0.5212706285275788,0.5818899869918823,1.203224778175354,-30.816858284057133,12.258697485758198,8.955711061460159,-36.03074990438601,-8.447015222564795,3.70620868603998
1st transverse temporal sulcus and Heschl's sulcus,14,25.1742389,21.698999999999998,1.758899999999997,20.547635938301994,4.985914506190827,-1.1224460711669293,1.5672181851296987,19.9401,23.6266,23.3675,1.6545999999999985,22.229515696193697,5.4689938829119935,-1.1326244976773274,1.2512045690066937,22.0954,25.7506,-0.460659,1.716731,-0.5869814313418985,2.9086637025179782,-0.8420185551798652,-1.0531420000635234,-2.71846,1.03478,0.0480959452688694,0.1239583007991314,-0.007271933346633639,0.2055510336885098,-1.499327614488047,-0.3453523311220321,-0.18550175428390503,0.14867733418941498,2.4254350662231445,0.13210630416870117,2.3896017367173896,0.22839729255484212,1.7005734852339813,7.04401192271569,2.2298701405525208,2.5027992725372314,0.20804409682750702,0.18347706645727158,0.3747842384852132,0.5098708841509275,0.25704780243866177,-0.8168869204124238,0.04863977897912264,0.5994094014167786,-40.92484453641451,-5.198506437356656,5.275597496216114,-46.407047909836834,-26.754838272651536,8.764557046694659
cingulate sulcus,15,137.0298972,8.30923,2.855009999999999,8.55744395755258,4.064560611392133,-0.2540933773159037,-0.8888473729086668,5.40357,10.645150000000001,9.55536,3.07355,9.851928049962845,4.3660060205659095,-0.2408988144163718,-0.9094305484363558,6.28067,12.30345,2.53866,1.49099,1.9898855866120675,2.5479307534011033,-1.5457036642458206,0.7248847162963461,0.595293,3.86357,0.15088041126728058,0.03227908909320831,0.11558464752425485,0.10746028100449603,-2.5516558542191206,5.140908923942238,0.08876772224903107,0.17706671357154846,2.2645578384399414,0.3495161533355713,2.2694885730917176,0.5635553803355131,0.05513456703390931,-0.18459641629092305,1.873435616493225,2.5673153400421143,0.5173822641372681,0.2664620876312256,0.4886107297274749,0.4257888067349666,-1.0926117862387759,-0.20817351232021997,0.22904546558856964,0.7558629810810089,-8.664322288346892,2.9005666017657568,32.712800436465365,-11.465646337886284,-4.731733394266558,32.71769570877228
paracentral sulcus,16,8.2027866,5.52651,1.15665,5.926497589742979,2.317396562711339,-0.39842118154297657,-0.9895554825413573,4.36986,6.55993,6.77963,1.5802899999999998,7.257918531312152,2.3704239543360877,-0.5153987933928672,-0.7770207946158525,5.19934,8.34806,2.65488,0.51837,1.952233234540321,1.451445266505017,-1.7889414946590763,0.7051705593654325,1.20907,2.91356,0.14487826824188232,0.015516906976699829,0.1266429607518807,0.05098397095949091,-2.1607093374944686,2.3666086224995615,0.10503500699996948,0.15838512778282166,2.0311098098754883,0.2082681655883789,2.1106558151995087,0.27991798046929695,0.6288200455650452,-0.05365790034399298,1.8901762962341309,2.354896306991577,0.2712280750274658,0.09020000696182251,0.3004568910334044,0.23410382179481742,-0.5999352300295596,-0.5713599669974894,0.188175231218338,0.4137539565563202,-7.9261249750852585,-19.515537530183792,48.51400947570801,-9.94341629270608,-17.860881610090388,60.15167017382871
parietooccipital fissure,17,35.29080350000001,16.8029,4.498799999999999,15.792525822441188,6.029659040423968,-0.56406269276893,-0.848876970668289,11.5604,21.2179,20.833,4.718600000000002,18.37490350520185,7.027180632037164,-0.7024885591565841,-0.6882289012744365,13.1925,23.4423,3.7048,1.1020999999999996,2.4291940446513887,3.179098480572477,-1.9493056774892759,1.7710086968669012,0.641837,4.5362,0.1665823757648468,0.03140425682067871,0.12731329360364343,0.12666998137505925,-2.5828816999906317,5.146605733409851,0.12013598531484604,0.18810920417308807,1.9509600400924683,0.381488561630249,2.009659543461649,0.5903050905661139,1.0167830812005496,1.519922489688632,1.5836445093154907,2.335517644882202,0.8412114977836609,0.2690919041633606,0.729070719396998,0.4956554513732833,-1.3882956481205784,1.0027071606590283,0.47195711731910706,1.045717477798462,-16.304082280113583,-48.99672589983259,0.3872995687619088,-17.04046232670411,-68.134502279383,26.13025615851525
calcarine fissure,18,57.60751170000001,4.55275,1.9900799999999998,6.637758273894894,4.873659305072425,0.3419347469459517,-0.6105914562057095,3.15976,8.46913,6.8379,2.75978,8.253729509599248,5.159020595270407,0.20316370526338476,-0.6752916718866628,4.41087,9.93696,-0.268006,1.774364,-0.4169013619063379,2.873212419351594,-1.316045338871405,-0.17273099603061048,-1.82158,1.61343,0.001282957848161459,0.13652856415137649,0.004349974838275911,0.19305613929412607,-1.2415821637771083,-0.7265823727932794,-0.12813834846019745,0.1505405306816101,1.8559632301330566,0.3041374683380127,1.910985812517662,0.5358395687234858,-0.22676284340791392,-0.13126962597025438,1.621565580368042,2.1891896724700928,-0.08704268932342529,0.3773079812526703,0.08563611031841856,0.5814611641498312,-0.7054618121189625,-0.9167795508565844,-0.2799581289291382,0.42599865794181824,-11.372350995823489,-27.6041779194848,-13.26681169412904,-12.263233198990445,-54.64964283601869,1.4273365545951169
superior rostral sulcus,19,0.9162659999999999,12.2519,0.038099999999998246,12.208515678525668,0.09596039750441138,-1.1636637621979693,0.5586420410290094,12.2138,12.262,13.8742,0.13129999999999953,13.679418321426311,0.31763133570303853,-0.6843334364842729,-1.221050695601979,13.4493,13.9523,4.59869,0.6456,4.485211352805845,0.7683058322417758,-0.45115564053413454,-1.1359811781631035,3.60132,4.78594,0.1847948580980301,0.004105925559997559,0.18367840213545447,0.004030272963111241,0.4443825157009675,-0.8222124618336872,0.18068893253803253,0.1848229020833969,2.5568180084228516,0.22482013702392578,2.5009763098650266,0.2174262519486301,0.5588914542531466,-0.8014273964960474,2.331997871398926,2.66011381149292,0.9150495529174805,0.007640480995178223,0.9126457379160394,0.013274337086609878,-0.7091735294740128,-0.7255799490722845,0.9074090719223022,0.9167817234992981,-8.580631573994955,63.59976704915365,28.618566513061523,-13.993705247853518,49.19499871516134,-2.222159688905814
callosal sulcus,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lateral H-shaped orbital sulcus,21,126.0873503,7.35619,2.8302499999999995,8.816157828661437,5.917070194899899,0.11088825394853037,-0.3976155291351442,4.9287600000000005,11.0227,10.0359,3.63335,11.550221590789508,6.434369428428479,0.1180380276879184,-0.7847321169937667,6.48621,14.3643,-1.97862,1.9518799999999998,-1.3202279206760807,3.730859891729917,-0.9476570969063022,-1.235698253746957,-3.64336,0.767926,-0.004686965141445398,0.10731089720502496,-0.014601681922595058,0.16980912699340917,-1.725907505979323,0.9879961370406893,-0.10210343450307846,0.11295656114816666,2.912036895751953,0.4639925956726074,2.9279435927363227,0.7378914783642587,1.4633045054086116,1.034870968306751,2.382338762283325,3.2309298515319824,-0.07067006826400757,0.26565954089164734,0.06190782265483523,0.5956296848768318,-0.5443313238201533,-1.0193212826359628,-0.2799718677997589,0.2795744836330414,-25.268116387866794,52.66143820626395,12.751392337679864,-31.73700570703673,30.80188233261711,-12.892884384885399
olfactory sulcus,22,41.69234469999999,9.34245,3.030750000000001,9.07705600650347,4.417253988555766,-0.6367235682275985,-0.919158378236494,5.61048,11.842,12.0569,3.4939999999999998,12.231909462207103,4.8982611448197,-0.5547226113021002,-0.8744895180064267,7.6837125,15.5141,0.333441,1.6619510000000002,0.4212032173201005,2.1027007821693338,-1.214085028748803,-0.24766059448902844,-1.32322,2.27222,-0.0012413469376042485,0.10372098709922284,-0.011408568432844315,0.1554901842345271,-1.286624270545032,-0.42322064433485984,-0.10496233403682709,0.09532710909843445,2.3458406925201416,0.5231288075447083,2.3232434585932693,0.8078661771500871,-0.5267485998749533,-0.43035872303135214,1.8672857284545898,2.964580535888672,0.15674825012683868,0.15823538543190807,0.15449851569793435,0.27568896530897946,-1.0761202059148292,-0.42869476368010995,-0.014000912196934223,0.29833198338747025,-11.858049148604984,36.7311117762611,-0.6468724125020561,-15.894988426210618,10.4870333536822,-18.367109400659572
occipitotemporal sulcus,23,109.55688599999999,7.73989,2.9509299999999996,8.548868840139908,4.479039860988717,-0.22882616279648274,-0.9516610804392096,5.13043,11.5127,9.72355,3.3893500000000003,10.255024380061359,4.630840721430006,-0.20008502876404674,-0.8293753278762059,6.5126,13.4373,1.04578,1.8751300000000002,0.9364691221937652,2.8735766798704754,-1.3920802752898291,0.2393877940603657,-0.740094,2.92091,0.06447125226259232,0.09549631923437119,0.05116679302033088,0.14236230086663382,-1.6220958579084006,0.38048399815978806,-0.025728801265358925,0.16156721115112305,2.3023810386657715,0.3251228332519531,2.3633363663602687,0.520252946690713,0.08391671620267518,-0.3650347642713574,2.0309488773345947,2.6601688861846924,0.3511621057987213,0.2748006731271744,0.39244669309115016,0.4023671690834736,-0.6230958495249878,-1.0419812818803826,0.082506462931633,0.6593050956726074,-36.547477807375984,-10.493792820017772,-23.37073714135029,-40.78126573457331,-44.93543343475531,-17.650432668167703
collateral sulcus,24,73.8528147,8.35734,3.416010000000001,8.579833225270804,3.9296470317183956,-0.532802597203139,-1.2766174085793103,5.1603,11.863,10.3799,3.2708000000000013,10.555830142958888,3.9211576809034345,-0.5577264851288336,-1.0790850950066517,7.24128,13.9664,1.28769,2.35419,0.7217769877271096,3.6515345155859746,-1.40001215963616,-0.1673528958372108,-2.17751,3.43043,0.11542737483978271,0.08483212813735008,0.05862934963196137,0.19952812173385104,-1.7918569799724025,0.8151896371082863,0.006571541074663401,0.18528833985328674,2.1860830783843994,0.5352962017059326,2.2814170055127985,0.7513784142171285,0.8827060152837368,0.8171078922418644,1.6704250872135162,2.7832319736480713,0.40314242243766785,0.3405540883541107,0.38082671763829895,0.4721539429851935,-1.0163595466748543,-0.6332700374456919,0.06299234926700592,0.7977617979049683,-22.344597474122658,-20.13189687683032,-22.0342291807517,-24.61214370140363,-52.46265752537457,-11.331339970479194
